-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2008 through 02/29/2024 
Location: Latitude  -22.2001   Longitude -65.62 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3590.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,WS2M,T2M,T2M_RANGE,PRECTOTCORR,RH2M,PS
2008,12,29,4.22,9.12,12.02,7.39,75.88,66.37
2008,12,30,2.92,10.26,13.47,0.47,72.88,66.34
2008,12,31,2.56,11.44,11.33,36.57,77.5,66.21
2009,1,1,2.69,10.37,14.45,13.57,75.94,66.14
2009,1,2,2.45,11.42,14.65,8.85,72.81,66.03
2009,1,3,3.1,7.33,12.45,2.44,77.75,66.15
2009,1,4,2.45,7.12,13.98,0.12,75.12,66.19
2009,1,5,2.48,9.45,14.34,0.0,71.44,66.13
2009,1,6,2.29,10.57,14.37,0.57,69.94,66.02
2009,1,7,2.33,11.24,13.64,2.31,69.5,66.11
2009,1,8,3.03,10.53,14.34,2.96,64.88,66.19
2009,1,9,3.99,9.74,13.21,1.34,73.81,66.32
2009,1,10,2.93,10.26,12.69,0.0,72.62,66.41
2009,1,11,3.4,11.3,12.55,0.28,74.06,66.31
2009,1,12,2.7,12.63,14.49,10.0,72.25,66.19
2009,1,13,2.68,12.02,11.18,0.62,77.12,66.26
2009,1,14,2.0,12.06,12.35,2.1,74.81,66.3
2009,1,15,2.79,12.4,17.92,0.32,61.75,66.2
2009,1,16,2.63,10.15,10.88,0.06,76.12,66.16
2009,1,17,2.45,11.01,14.82,0.04,70.56,66.08
2009,1,18,2.75,8.85,14.21,6.11,73.69,66.18
2009,1,19,2.84,8.66,13.68,0.58,69.62,66.35
2009,1,20,2.45,8.11,15.14,0.03,69.81,66.41
2009,1,21,2.49,9.01,13.09,0.04,73.75,66.36
2009,1,22,2.88,9.15,12.86,0.09,74.31,66.4
2009,1,23,2.61,9.34,12.22,0.01,74.62,66.37
2009,1,24,2.86,10.51,14.59,0.0,69.56,66.2
2009,1,25,3.12,10.49,14.14,7.86,70.31,66.3
2009,1,26,2.59,10.35,13.71,4.94,70.44,66.38
2009,1,27,2.41,10.55,10.5,0.0,75.12,66.36
2009,1,28,3.22,10.52,11.24,1.14,74.69,66.34
2009,1,29,2.55,11.01,16.34,0.11,69.06,66.39
2009,1,30,2.34,12.43,13.42,0.0,70.25,66.39
2009,1,31,3.14,11.43,12.57,10.79,69.44,66.38
2009,2,1,3.24,11.39,14.77,16.07,71.38,66.21
2009,2,2,2.42,12.07,17.42,0.23,67.12,66.06
2009,2,3,2.91,12.87,16.91,4.72,63.81,66.23
2009,2,4,2.64,10.29,12.12,1.05,76.56,66.43
2009,2,5,2.34,13.79,17.53,0.06,65.69,66.27
2009,2,6,2.49,12.33,11.33,2.47,75.31,66.27
2009,2,7,2.36,11.01,15.2,0.23,77.12,66.31
2009,2,8,2.94,12.31,10.02,12.6,78.06,66.2
2009,2,9,3.28,10.86,10.99,15.13,82.94,66.15
2009,2,10,2.2,11.74,16.09,1.08,71.88,66.15
2009,2,11,2.74,11.86,11.83,2.57,72.5,66.39
2009,2,12,2.66,11.17,12.59,0.13,75.62,66.37
2009,2,13,2.96,11.89,17.03,9.0,65.94,66.0
2009,2,14,3.44,7.25,11.27,9.64,79.56,66.05
2009,2,15,2.19,9.05,15.52,0.16,70.69,65.97
2009,2,16,2.95,9.07,18.44,5.26,61.75,66.02
2009,2,17,2.91,8.27,11.82,2.04,75.5,66.29
2009,2,18,2.71,10.39,14.14,0.0,71.62,66.22
2009,2,19,2.75,11.21,14.21,0.08,74.31,66.22
2009,2,20,2.66,11.28,16.37,0.11,72.19,66.18
2009,2,21,2.57,12.76,12.48,0.24,70.31,66.15
2009,2,22,2.63,12.07,12.24,0.29,73.62,66.21
2009,2,23,3.23,11.09,11.4,0.07,73.19,66.27
2009,2,24,2.99,8.73,14.05,0.03,75.88,66.24
2009,2,25,3.02,6.4,11.95,1.44,77.88,66.21
2009,2,26,2.76,6.62,12.93,1.04,77.69,66.16
2009,2,27,3.41,6.83,11.92,0.08,76.69,66.23
2009,2,28,3.14,9.55,15.3,3.66,75.62,66.17
2009,3,1,1.89,10.34,16.13,0.83,73.38,66.16
2009,3,2,2.04,11.62,12.92,7.07,72.94,66.24
2009,3,3,2.57,11.57,11.78,1.63,73.88,66.27
2009,3,4,3.0,11.19,15.88,6.47,70.06,66.27
2009,3,5,3.12,10.65,14.22,3.59,74.56,66.39
2009,3,6,1.93,11.83,11.54,0.0,75.62,66.38
2009,3,7,2.7,11.73,11.13,0.0,77.88,66.39
2009,3,8,2.68,10.08,11.55,23.72,80.0,66.34
2009,3,9,3.18,7.55,10.33,16.64,83.62,66.23
2009,3,10,3.41,8.04,13.5,7.2,80.12,66.14
2009,3,11,2.46,9.34,14.98,0.99,70.88,66.04
2009,3,12,2.09,8.58,11.87,0.06,75.88,66.21
2009,3,13,2.36,7.89,15.47,0.06,63.44,66.35
2009,3,14,2.13,8.89,14.8,0.01,65.25,66.41
2009,3,15,2.66,7.69,17.15,0.0,67.25,66.63
2009,3,16,1.49,10.41,19.72,0.0,64.38,66.32
2009,3,17,3.23,7.53,8.43,12.07,81.0,66.33
2009,3,18,2.9,6.48,7.75,4.83,85.25,66.38
2009,3,19,2.58,6.35,9.72,5.04,83.12,66.36
2009,3,20,2.52,6.36,9.31,1.07,84.31,66.36
2009,3,21,1.5,6.96,11.71,0.1,75.75,66.3
2009,3,22,2.36,9.82,15.7,0.77,72.94,66.06
2009,3,23,2.52,10.24,12.92,13.6,77.19,66.09
2009,3,24,1.98,8.46,12.16,7.73,79.25,66.21
2009,3,25,2.41,8.74,12.02,2.82,78.5,66.13
2009,3,26,2.8,8.47,11.02,1.8,81.88,66.06
2009,3,27,1.96,9.79,14.74,0.25,72.94,66.19
2009,3,28,2.15,9.98,11.95,0.0,73.25,66.2
2009,3,29,1.59,10.51,15.71,0.0,67.81,66.08
2009,3,30,1.88,10.94,15.31,0.0,67.25,66.22
2009,3,31,2.13,9.76,12.2,0.37,76.06,66.38
2009,4,1,2.53,8.76,14.34,0.04,70.94,66.39
2009,4,2,2.24,10.16,15.92,0.0,70.69,66.22
2009,4,3,2.01,10.65,15.66,0.0,70.12,66.11
2009,4,4,2.72,8.26,20.09,0.54,56.0,66.17
2009,4,5,2.75,8.99,13.94,0.58,76.19,66.3
2009,4,6,2.24,9.85,11.94,0.0,80.31,66.4
2009,4,7,1.45,9.98,12.26,6.11,77.88,66.41
2009,4,8,2.18,6.55,9.97,7.83,83.75,66.51
2009,4,9,2.16,6.87,7.96,0.86,83.94,66.52
2009,4,10,2.05,7.75,13.55,0.05,70.5,66.58
2009,4,11,1.99,9.28,15.71,0.0,70.0,66.33
2009,4,12,1.68,7.78,9.1,4.85,82.06,66.33
2009,4,13,1.84,7.84,14.0,0.49,74.88,66.45
2009,4,14,2.13,7.83,12.0,0.01,74.81,66.74
2009,4,15,1.58,8.26,12.4,0.0,73.88,66.75
2009,4,16,2.02,8.02,18.8,0.0,65.62,66.63
2009,4,17,1.96,7.88,20.55,0.0,55.62,66.5
2009,4,18,2.28,7.85,17.66,0.0,55.56,66.44
2009,4,19,2.58,7.78,15.51,0.25,68.88,66.49
2009,4,20,2.73,8.24,14.68,1.25,72.56,66.44
2009,4,21,2.35,9.23,14.29,0.24,72.5,66.36
2009,4,22,1.63,9.26,13.28,0.06,71.38,66.36
2009,4,23,2.47,8.69,17.79,0.0,66.38,66.26
2009,4,24,2.5,7.61,11.94,5.0,76.0,66.28
2009,4,25,2.16,8.41,13.47,1.65,73.38,66.29
2009,4,26,3.2,7.36,9.1,0.85,80.12,66.43
2009,4,27,3.06,8.46,13.93,0.39,73.56,66.32
2009,4,28,2.3,8.05,12.71,0.08,73.88,66.24
2009,4,29,1.91,7.84,14.68,1.07,68.19,66.29
2009,4,30,2.35,7.63,11.41,0.35,76.31,66.49
2009,5,1,2.32,7.93,16.44,0.0,64.12,66.43
2009,5,2,1.71,7.71,15.05,0.0,65.69,66.46
2009,5,3,1.61,7.08,17.53,0.0,60.06,66.3
2009,5,4,2.94,6.08,20.52,0.23,54.0,66.11
2009,5,5,2.63,6.93,12.98,0.1,77.25,66.22
2009,5,6,2.37,6.78,13.01,0.0,75.12,66.21
2009,5,7,2.2,6.73,15.19,0.0,54.94,66.13
2009,5,8,1.84,4.54,19.05,0.0,55.94,66.27
2009,5,9,1.85,6.96,19.37,0.0,51.75,66.24
2009,5,10,1.27,5.92,20.5,0.0,41.88,66.26
2009,5,11,1.84,7.04,20.92,0.0,44.19,66.22
2009,5,12,1.89,7.4,18.0,0.0,55.88,66.25
2009,5,13,1.83,6.13,22.25,0.55,46.0,66.11
2009,5,14,1.5,6.29,17.28,0.66,56.94,66.19
2009,5,15,1.62,5.62,21.03,0.0,55.75,66.06
2009,5,16,1.66,5.45,20.46,0.0,51.19,66.01
2009,5,17,2.59,6.41,20.59,0.0,44.25,66.1
2009,5,18,2.6,6.0,18.1,0.0,56.31,66.44
2009,5,19,2.33,5.59,18.16,0.0,69.94,66.5
2009,5,20,1.48,7.47,17.5,0.0,55.38,66.31
2009,5,21,1.97,6.18,18.26,0.0,54.62,66.29
2009,5,22,1.54,6.62,18.32,0.0,59.62,66.31
2009,5,23,1.7,6.5,19.19,0.0,55.12,66.33
2009,5,24,1.48,6.38,20.18,0.0,50.0,66.3
2009,5,25,1.83,5.73,21.54,0.22,45.69,66.2
2009,5,26,2.36,5.51,19.09,3.72,60.88,66.23
2009,5,27,3.13,6.82,14.38,4.69,75.06,66.1
2009,5,28,3.3,4.72,16.17,2.0,67.56,66.09
2009,5,29,4.47,3.94,17.29,0.09,58.06,65.94
2009,5,30,5.73,2.03,18.41,0.0,33.56,65.77
2009,5,31,2.26,2.51,19.91,0.0,41.31,66.01
2009,6,1,1.24,2.76,16.86,0.0,50.62,66.13
2009,6,2,1.67,1.14,15.27,0.0,54.0,66.24
2009,6,3,1.45,3.51,19.2,0.0,42.81,66.22
2009,6,4,1.91,5.61,21.14,0.0,31.0,66.22
2009,6,5,2.1,3.55,19.23,0.0,40.25,66.42
2009,6,6,1.36,4.05,18.62,0.0,52.12,66.46
2009,6,7,1.82,5.35,18.07,0.0,41.56,66.3
2009,6,8,1.52,3.87,20.97,0.0,39.69,66.2
2009,6,9,1.09,4.71,18.15,0.0,36.56,66.13
2009,6,10,1.57,4.45,17.79,0.0,46.0,66.16
2009,6,11,1.66,2.01,18.51,0.0,69.75,66.31
2009,6,12,1.28,2.24,18.55,0.0,59.94,66.42
2009,6,13,1.55,4.06,18.48,0.0,40.06,66.2
2009,6,14,3.2,3.4,20.05,0.0,28.75,65.95
2009,6,15,3.31,2.12,15.72,0.0,29.88,66.05
2009,6,16,1.42,1.7,17.68,0.0,31.56,66.25
2009,6,17,1.84,3.28,19.72,0.0,28.75,66.16
2009,6,18,1.8,4.19,19.78,0.0,31.0,66.16
2009,6,19,2.49,3.9,20.38,0.0,28.88,66.05
2009,6,20,2.52,3.38,19.45,0.0,31.56,66.11
2009,6,21,1.95,3.79,19.23,0.0,33.38,66.09
2009,6,22,2.48,3.21,19.21,0.0,28.06,66.03
2009,6,23,3.07,2.26,16.45,0.0,31.56,66.06
2009,6,24,3.24,2.36,17.64,0.0,36.0,66.12
2009,6,25,2.83,3.0,19.57,0.0,33.38,66.15
2009,6,26,2.08,3.19,19.08,0.0,33.31,66.22
2009,6,27,1.41,3.88,18.96,0.0,34.0,66.32
2009,6,28,3.48,4.17,21.09,0.0,26.88,66.22
2009,6,29,2.4,3.06,20.67,0.0,31.69,66.08
2009,6,30,2.69,3.48,20.63,0.0,26.56,65.97
2009,7,1,2.17,3.4,18.97,0.0,22.25,66.09
2009,7,2,1.7,3.22,18.7,0.0,27.19,66.15
2009,7,3,1.7,2.19,19.31,0.0,27.94,66.13
2009,7,4,2.22,2.94,19.87,0.0,23.81,66.03
2009,7,5,2.02,2.57,18.41,0.0,27.31,66.13
2009,7,6,1.91,2.67,18.12,0.0,34.75,66.24
2009,7,7,1.82,3.87,17.89,0.0,44.25,66.18
2009,7,8,1.88,3.98,16.59,0.0,55.0,66.16
2009,7,9,2.82,3.26,19.11,0.0,35.56,66.0
2009,7,10,4.69,2.62,18.59,0.0,21.38,65.98
2009,7,11,1.95,2.23,18.57,0.0,29.06,66.14
2009,7,12,2.59,4.16,20.27,0.0,25.81,65.96
2009,7,13,3.15,4.28,16.91,0.0,41.38,66.27
2009,7,14,2.66,4.62,17.02,0.0,66.31,66.31
2009,7,15,4.45,5.11,18.84,0.0,56.44,66.06
2009,7,16,3.2,4.71,18.36,0.0,44.38,66.08
2009,7,17,2.56,6.16,18.31,0.0,42.31,66.28
2009,7,18,1.84,6.69,13.91,0.0,69.5,66.5
2009,7,19,2.35,7.25,15.45,0.0,60.06,66.3
2009,7,20,4.11,6.74,13.93,0.0,50.94,65.83
2009,7,21,8.51,2.28,16.22,0.0,30.56,65.51
2009,7,22,5.02,0.48,19.14,0.0,19.44,65.78
2009,7,23,4.67,0.86,19.23,0.0,23.94,65.81
2009,7,24,3.61,1.39,18.58,0.0,24.31,65.86
2009,7,25,3.77,1.44,18.2,0.0,22.0,65.91
2009,7,26,3.04,2.8,17.41,0.0,23.88,66.13
2009,7,27,3.1,2.94,17.62,0.0,23.62,66.16
2009,7,28,2.59,2.98,20.89,0.0,24.75,66.15
2009,7,29,2.27,3.91,18.7,0.0,23.88,66.15
2009,7,30,2.31,4.94,16.16,0.0,30.62,66.18
2009,7,31,2.02,4.79,17.36,0.0,43.12,66.15
2009,8,1,2.46,4.88,17.91,0.0,35.31,66.07
2009,8,2,1.6,3.44,20.46,0.0,36.38,66.2
2009,8,3,1.73,5.24,22.66,0.0,31.94,66.2
2009,8,4,2.34,6.32,24.77,0.0,17.94,66.16
2009,8,5,2.49,7.15,24.3,0.0,22.19,66.15
2009,8,6,2.8,6.01,18.23,0.0,41.0,66.18
2009,8,7,2.95,6.9,21.41,0.0,37.31,66.03
2009,8,8,4.91,5.08,17.12,0.39,54.19,66.02
2009,8,9,1.82,2.05,22.48,0.0,29.19,66.12
2009,8,10,1.88,2.3,16.27,0.0,30.5,66.48
2009,8,11,2.18,4.15,20.59,0.0,28.12,66.36
2009,8,12,1.57,5.82,22.02,0.0,18.62,66.27
2009,8,13,3.21,5.99,22.07,0.0,20.12,66.28
2009,8,14,1.89,7.3,23.42,0.0,18.88,66.08
2009,8,15,2.95,7.26,24.53,0.0,14.06,65.81
2009,8,16,3.4,5.47,22.12,0.0,18.69,65.92
2009,8,17,3.34,5.53,21.82,0.0,20.19,65.95
2009,8,18,4.65,5.05,23.21,0.0,15.94,65.93
2009,8,19,4.23,5.44,23.26,0.0,14.25,65.86
2009,8,20,2.83,4.33,23.02,0.0,22.06,65.98
2009,8,21,1.84,4.48,22.58,0.0,20.62,65.95
2009,8,22,2.16,3.75,21.96,0.0,14.25,65.78
2009,8,23,2.27,3.3,21.71,0.0,28.38,65.93
2009,8,24,2.44,3.5,21.02,0.0,43.06,66.22
2009,8,25,2.34,5.0,20.57,0.0,41.31,66.43
2009,8,26,2.42,6.4,22.4,0.0,46.0,66.44
2009,8,27,2.75,6.9,20.47,0.0,52.19,66.56
2009,8,28,2.58,7.17,20.45,0.0,51.44,66.49
2009,8,29,2.15,8.56,21.32,0.0,40.94,66.19
2009,8,30,2.4,8.65,21.26,0.0,29.06,66.12
2009,8,31,2.46,8.12,21.45,0.0,32.06,66.17
2009,9,1,2.62,9.44,19.38,0.0,47.19,66.15
2009,9,2,2.64,9.24,14.98,0.0,42.06,66.14
2009,9,3,3.46,7.99,14.86,0.0,29.44,66.16
2009,9,4,2.41,6.68,21.91,0.0,23.0,66.26
2009,9,5,3.5,7.21,23.8,0.0,19.12,66.21
2009,9,6,3.67,7.88,25.21,0.0,12.06,66.22
2009,9,7,5.06,8.45,23.14,0.0,9.06,66.03
2009,9,8,4.68,7.11,24.78,0.0,12.44,65.76
2009,9,9,5.48,4.95,21.88,0.0,16.69,65.75
2009,9,10,4.21,3.85,22.84,0.0,31.81,66.05
2009,9,11,3.49,5.08,25.19,0.0,31.81,66.26
2009,9,12,2.04,6.76,25.47,0.0,28.5,66.23
2009,9,13,2.05,7.65,25.14,0.0,23.5,66.24
2009,9,14,2.2,9.69,25.73,0.0,32.44,66.22
2009,9,15,2.83,10.98,21.41,0.0,44.81,66.28
2009,9,16,3.95,10.12,13.34,6.26,70.38,66.37
2009,9,17,4.1,11.51,16.85,0.93,57.56,66.16
2009,9,18,2.8,9.92,20.47,0.0,43.88,66.1
2009,9,19,2.81,8.24,19.88,0.0,50.62,66.18
2009,9,20,2.94,7.54,24.52,0.0,33.88,66.07
2009,9,21,2.11,7.62,25.67,0.0,25.75,65.95
2009,9,22,3.12,6.7,24.38,0.0,22.5,65.85
2009,9,23,2.29,6.0,23.37,0.0,36.5,65.98
2009,9,24,2.35,6.9,25.23,0.0,31.25,65.98
2009,9,25,2.86,8.54,27.08,0.0,17.56,65.96
2009,9,26,4.09,9.51,24.52,0.0,16.19,65.98
2009,9,27,4.53,9.79,22.03,0.0,28.69,66.04
2009,9,28,4.12,10.44,21.2,0.0,45.81,66.15
2009,9,29,3.78,8.94,16.82,0.09,53.12,66.25
2009,9,30,3.41,11.04,22.43,0.0,42.62,66.09
2009,10,1,3.8,8.83,24.26,0.0,35.94,66.1
2009,10,2,2.31,9.04,23.54,0.0,49.5,66.18
2009,10,3,3.02,10.09,21.94,0.0,41.5,66.3
2009,10,4,2.43,12.52,21.66,0.0,46.94,66.2
2009,10,5,2.88,11.84,22.5,0.0,24.25,66.13
2009,10,6,2.91,9.42,16.61,1.32,52.44,66.29
2009,10,7,2.75,9.76,17.24,0.05,57.25,66.39
2009,10,8,2.93,9.97,18.89,0.0,54.5,66.46
2009,10,9,2.84,11.28,19.43,0.0,49.12,66.26
2009,10,10,1.72,12.53,24.19,0.0,29.5,65.96
2009,10,11,4.45,11.6,23.98,0.0,14.12,65.91
2009,10,12,2.55,9.12,24.11,0.0,23.75,65.96
2009,10,13,2.66,9.81,25.62,0.0,20.12,65.86
2009,10,14,4.38,9.91,24.67,0.0,22.75,65.86
2009,10,15,3.97,10.44,21.33,0.0,44.5,65.91
2009,10,16,3.04,10.69,24.37,0.0,40.0,66.04
2009,10,17,3.44,12.3,21.51,0.0,45.38,66.18
2009,10,18,2.91,13.61,19.64,0.0,43.88,66.06
2009,10,19,2.88,12.87,22.02,0.43,38.56,66.05
2009,10,20,2.52,13.51,18.94,0.3,52.56,65.98
2009,10,21,2.74,12.1,21.92,4.47,42.56,66.13
2009,10,22,3.06,12.66,16.27,0.85,61.56,66.12
2009,10,23,2.34,14.37,19.99,0.0,39.94,65.95
2009,10,24,4.38,11.6,18.07,0.44,37.25,66.11
2009,10,25,2.62,13.29,18.54,0.02,56.81,66.03
2009,10,26,3.66,10.44,15.89,0.0,61.06,66.14
2009,10,27,3.28,11.58,18.53,0.0,52.44,66.17
2009,10,28,3.36,12.41,18.74,0.0,55.44,66.36
2009,10,29,2.99,13.09,15.12,0.0,53.94,66.49
2009,10,30,3.02,13.8,22.15,0.0,46.0,66.3
2009,10,31,2.92,14.18,20.85,0.0,44.81,66.24
2009,11,1,3.27,14.48,21.34,0.0,38.94,66.14
2009,11,2,2.55,15.3,19.29,0.0,31.62,66.17
2009,11,3,4.34,13.86,17.02,0.0,36.75,66.13
2009,11,4,2.48,13.83,17.09,0.0,55.62,66.06
2009,11,5,2.42,13.95,17.88,4.21,49.62,65.99
2009,11,6,2.95,14.27,18.6,2.45,39.5,65.83
2009,11,7,3.7,11.96,20.35,2.71,37.88,65.87
2009,11,8,2.96,12.09,21.52,0.0,47.94,65.98
2009,11,9,2.39,13.78,19.38,0.0,50.44,66.01
2009,11,10,3.27,14.06,20.02,0.0,49.19,66.07
2009,11,11,4.12,15.51,16.17,0.0,59.75,66.01
2009,11,12,4.16,15.08,17.93,0.0,57.94,66.01
2009,11,13,2.84,16.61,18.09,0.0,45.88,66.1
2009,11,14,3.73,15.8,14.88,7.03,56.38,66.24
2009,11,15,2.7,13.14,17.15,15.35,65.31,66.21
2009,11,16,3.72,12.48,13.21,6.3,69.44,66.18
2009,11,17,3.35,14.35,18.28,0.35,52.5,66.1
2009,11,18,2.23,15.8,17.89,0.34,50.75,66.1
2009,11,19,4.11,14.9,18.48,2.13,42.31,66.21
2009,11,20,2.86,13.28,11.52,0.25,68.56,66.19
2009,11,21,2.87,14.93,16.04,0.0,61.38,66.12
2009,11,22,2.77,15.25,15.76,0.0,60.75,66.17
2009,11,23,3.12,16.48,17.49,14.23,60.0,66.08
2009,11,24,3.29,14.62,16.15,0.16,53.88,66.15
2009,11,25,3.28,15.15,17.35,0.0,49.44,66.14
2009,11,26,2.8,12.93,13.83,3.44,66.06,66.24
2009,11,27,2.71,14.95,16.12,0.2,58.94,66.13
2009,11,28,2.62,15.51,17.86,0.02,53.88,66.06
